 IP Address , Computer Name , Domain , MAC Address , OfficeScan Client Status , Ping Result , Product name , Platform , OfficeScan Server , Version , Pattern File , Scan Engine , Outbreak Prevention Policy , Computer Description , Remote Installation
141.195.132.83,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.84,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.85,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.86,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.87,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.88,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.89,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.90,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.91,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.92,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.93,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.94,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.95,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.96,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.97,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.98,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.99,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.100,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.101,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.102,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.103,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.104,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.105,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.106,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.107,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.108,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.109,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.110,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.111,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.112,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.113,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.114,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.115,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.116,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.117,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.118,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.119,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.120,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.121,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.122,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.123,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.124,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.125,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.126,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.127,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.132.128,,,,Unreachable,Time Out,NA,NA,,,,,,,
